Geography,Name,Level,public_housing
NYC,New York City,City,8.4%
BX,The Bronx,Boro,13.3%
BK,Brooklyn,Boro,8.0%
MN,Manhattan,Boro,8.7%
QN,Queens,Boro,3.8%
SI,Staten Island,Boro,8.3%
BX 01,Mott Haven/Melrose,Community District,29.8%
BX 02,Hunts Point/Longwood,Community District,3.5%
BX 03,Morrisania/Crotona,Community District,23.7%
BX 04,Highbridge/Concourse,Community District,4.0%
BX 05,Fordham/University Heights,Community District,12.3%
BX 06,Belmont/East Tremont,Community District,1.5%
BX 07,Kingsbridge Heights/Bedford,Community District,0.5%
BX 08,Riverdale/Fieldston,Community District,8.5%
BX 09,Parkchester/Soundview,Community District,20.3%
BX 10,Throgs Neck/Co-op City,Community District,11.8%
BX 11,Morris Park/Bronxdale,Community District,32.3%
BX 12,Williamsbridge/Baychester,Community District,9.5%
BK 01,Greenpoint/Williamsburg,Community District,7.9%
BK 02,Fort Greene/Brooklyn Heights,Community District,9.3%
BK 03,Bedford Stuyvesant,Community District,16.3%
BK 04,Bushwick,Community District,0.0%
BK 05,East New York/Starrett City,Community District,17.3%
BK 06,Park Slope/Carroll Gardens,Community District,11.6%
BK 07,Sunset Park,Community District,0.0%
BK 08,Crown Heights/Prospect Heights,Community District,8.4%
BK 09,South Crown Heights/Lefferts Gardens,Community District,0.8%
BK 10,Bay Ridge/Dyker Heights,Community District,0.0%
BK 11,Bensonhurst,Community District,0.0%
BK 12,Borough Park,Community District,0.0%
BK 13,Coney Island,Community District,23.5%
BK 14,Flatbush/Midwood,Community District,0.0%
BK 15,Sheepshead Bay,Community District,7.1%
BK 16,Brownsville,Community District,27.4%
BK 17,East Flatbush,Community District,0.4%
BK 18,Flatlands/Canarsie,Community District,15.6%
MN 01,Financial District,Community District,0.0%
MN 02,Greenwich Village/Soho,Community District,0.0%
MN 03,Lower East Side/Chinatown,Community District,23.8%
MN 04,Clinton/Chelsea,Community District,2.9%
MN 05,Midtown,Community District,0.0%
MN 06,Stuyvesant Town/Turtle Bay,Community District,0.5%
MN 07,Upper West Side,Community District,7.0%
MN 08,Upper East Side,Community District,1.9%
MN 09,Morningside Heights/Hamilton,Community District,9.2%
MN 10,Central Harlem,Community District,15.5%
MN 11,East Harlem,Community District,30.3%
MN 12,Washington Heights/Inwood,Community District,2.5%
QN 01,Astoria,Community District,9.8%
QN 02,Woodside/Sunnyside,Community District,0.0%
QN 03,Jackson Heights,Community District,0.0%
QN 04,Elmhurst/Corona,Community District,0.0%
QN 05,Ridgewood/Maspeth,Community District,0.0%
QN 06,Rego Park/Forest Hills,Community District,0.0%
QN 07,Flushing/Whitestone,Community District,2.4%
QN 08,Hillcrest/Fresh Meadows,Community District,9.2%
QN 09,Kew Gardens/Woodhaven,Community District,0.0%
QN 10,South Ozone Park/Howard Beach,Community District,1.2%
QN 11,Bayside/Little Neck,Community District,0.0%
QN 12,Jamaica/Hollis,Community District,6.5%
QN 13,Queens Village,Community District,7.9%
QN 14,Rockaway/Broad Channel,Community District,10.3%
SI 01,St. George/Stapleton,Community District,11.6%
SI 02,South Beach/Willowbrook,Community District,10.9%
SI 03,Tottenville/Great Kills,Community District,0.0%
